Index,Headline,Sentiment
0,"Johnson is asking Santa for a Christmas recovery",POS
1,"‘I now fear the worst’: four grim tales of working life upended by Covid-19",NEG
2,"Five key areas Sunak must tackle to serve up economic recovery",NEU
3,"Covid-19 leaves firms ‘fatally ill-prepared’ for no-deal Brexit",NEG
4,"The Week in Patriarchy Bacardi's 'lady vodka': the latest in a long line of depressing gendered products",NEG
5,"English councils call for smoking ban outside pubs and cafes",NEU
6,"Can Tesla justify a $300bn valuation?",NEU
7,"Empty city centres: 'I’m not sure it will ever be the same again'",NEG
8,"Democratising finance for all? An investment app for amateurs and a student trader's death",NEG
9,"Homebuyer loses £300,000 to fraudsters – but gets it back after we step in",POS
10,"St Mawes named UK’s top seaside resort in Which? poll",POS
11,"Atol protection to be extended to vouchers on Covid-19 cancellations",POS
12,"Leaseholders billed up to £115,000 each to remove Grenfell-style cladding",NEG
13,"Boohoo calls for licensing scheme to ensure textile factories fit to trade",NEU
14,"All Asda HQ staff told to return to office at least once a week from August",NEU
15,"Ask and Zizzi to close 75 outlets, threatening up to 1,200 jobs",NEG
16,"British Airways retires iconic Boeing 747 fleet – in pictures",NEG
17,"World Bank calls on creditors to cut poorest nations' debt payments",POS
18,"British Airways retires Boeing 747 fleet as Covid-19 hits travel",NEG
19,"What will changes to England's lockdown rules mean for me?",NEU
20,"In search of a new economics for Covid-19 era",NEU
21,"Business live Markets hope for progress over EU recovery fund; US consumer confidence drops – as it happened",NEG
22,"I flew the jumbo for 10 years and never got over how big it was, says 747 pilot",NEU
23,"BA begins to carry out its 'fire and rehire' threat to jobs",NEG
24,"Johnson's coronavirus workplace guidance confused, warn unions",NEG
25,"What will be changing in Boris Johnson's 'return to normality'",NEU
26,"Lloyds to increase number of black staff in senior roles",POS
27,"Silicon Valley has deep pockets for African startups – if you’re not African",NEG
28,"‘What's going to give?’: millions fret as Republicans threaten to halt $600 weekly lifesaver",NEG
29,"Future of education 'The MIT of the north': how the government plans to transform ex-mining towns",POS
30,"Battery firm chooses Welsh site for Britain's first gigafactory",POS
31,"Netflix shares drop despite positive second-quarter earnings",NEG
32,"Nils Pratley on finance Centrica left it far too late to tackle its problems",NEG
33,"Here's another virus terrorising businesses and causing havoc: ransomware",NEG
34,"$11.3bn in IMF Covid-19 money is being used to service debt, says group",NEG
35,"A fifth of Brazilian soy in Europe is result of deforestation",NEG
36,"Public sector pension discrimination could cost UK taxpayer £17bn",NEG
37,"World's largest oil firm agrees to carbon cuts to tackle climate crisis",POS
38,"Boohoo shares rise 12% after co-founders pump £15m into firm",POS
39,"UK government orders halt to Randox Covid-19 tests over safety issues",NEG
40,"Canary Wharf traders and landlord bank on return to offices",POS
41,"Number of UK problem gamblers seeking help soars in lockdown",NEG
42,"British Gas owner 'using Covid-19 as smokescreen to alter staff contracts'",NEG
43,"'It's disrupted our entire lives': UK workers on losing their jobs",NEG
44,"Business live China shares suffer biggest fall since February; US jobless claims still high - as it happened",NEG
45,"More than 1,600 UK jobs at risk at casino firm Genting",NEG
46,"Royalties investment firm buys catalogue of Lady Gaga collaborator",POS
47,"Pizza Express to close up to 75 restaurants, risking 1,000 jobs",NEG
48,"Rishi Sunak’s Covid-19 package recycled up to £10bn spending – IFS",NEG
49,"Next in final stages of buying UK arm of Victoria's Secret",POS
50,"Human rights in focus Ethical labels not fit for purpose, report warns consumers",NEG
51,"UK banks may have to flag up plans to shut branches or cash machines",NEU
52,"1.3m more file for unemployment as US economy continues to reel",NEG
53,"Southbank Centre warns of 400 job losses amid coronavirus crisis",NEG
54,"UK's hidden problem of rising unemployment may soon be exposed",NEG
55,"UK paid employment falls by almost 650,000 as Covid-19 crisis bites",NEG
56,"Banks propose student loan-style scheme for struggling UK businesses",POS
57,"Family fortunes of wealthy increase as super-rich ride coronavirus storm",NEG
58,"Treasury mulls plan to set up coronavirus toxic debt body to save UK small businesses",POS
59,"29% of UK businesses to cut jobs in next three months, survey says",NEG
60,"'Incredible' Boohoo denying knowledge of factory allegations, says MP",NEG
61,"Treasury mulls plan to set up coronavirus toxic debt body to save UK small businesses",POS
62,"Nils Pratley on finance Margrethe Vestager was 100% correct over public mood on Apple tax case",POS
63,"Fear of Pizza Express closures as chain faces takeover by bondholders",NEG
64,"'Not much difference': few takers on first day of hospitality VAT cut",NEG
65,"Capital gains tax review: your questions answered",NEU
66,"Asos considers action against Leicester supplier in ethical audit",NEG
67,"Business live Chancellor Rishi Sunak warns of 'tough choices' to address public finances - as it happened",NEG
68,"BBC announces further 70 job cuts in news division",NEG
69,"Claim Amanda Staveley in charge of Abu Dhabi Barclays deal 'a fantasy', court told",NEG
70,"Trump claims credit for UK Huawei ban as China says move 'disheartening' – video",NEG
71,"Buzz Bingo to close 26 halls across UK with loss of up to 573 jobs",NEG
72,"UK ban on Huawei in 5G network groundless, says Chinese ambassador",NEG
73,"UK fast-food and coffee chains cut prices as VAT relief comes into effect",POS
74,"Apple does not need to pay €13bn Irish tax bill, EU court rules",POS
75,"‘I can’t afford to turn away business’: view from shops on face mask rules",NEG
76,"The Number Bias by Sanne Blauw review – how numbers can mislead us",NEG
77,"Chinese media calls for 'pain' over UK Huawei ban as Trump claims credit",NEG
78,"Matt Hancock rules out mandatory face masks in offices",NEU
79,"Burberry to cut 500 jobs worldwide in £55m cost-saving drive",NEG
80,"UK inflation rises as game console prices increase in lockdown",NEG
81,"BFI diversity standards 'failing to tackle race discrimination in UK film industry'",NEG
82,"Your problems, with Anna Tims Floored as Harveys constantly failed on its promises to deliver",NEG
83,"Governments put 'green recovery' on the backburner",NEG
84,"The green recovery UK government planning new green investment bank",POS
85,"Stamp duty cut fuels surge of interest in London commuter belt",POS
86,"UK energy efficiency push offers just a third of the investment needed, says report",NEG
87,"UK launches first online service for groceries in reusable packing",POS
88,"Rishi Sunak's capital gains tax review may usher in higher taxes on wealthy",NEG
89,"Virgin Atlantic: a successful non-intervention by the Treasury",POS
90,"The Guardian view on Covid-19 economics: the austerity con of deficit hysteria",NEG
91,"Former Barclays boss apologises for Amanda Staveley 'tart' reference",NEG
92,"Hospitality VAT cut may not be passed on to UK consumers",NEG
93,"Oprah Winfrey and Jay-Z tap into rising alt-milk star Oatly",POS
94,"Weak recovery could make unemployment worse than 1980s levels, warns OBR",NEG
95,"Treasury forecaster's three stark predictions for Britain's economy",NEG
96,"UK accounting firms criticised by watchdog for ‘unacceptable’ work",NEG
97,"Business live Hopes for V-shaped recovery fade as UK economy grows 1.8% in May - as it happened",NEG
98,"Virgin Atlantic agrees £1.2bn rescue deal amid coronavirus slump",POS
99,"Ireland could randomly test tourists from high-risk countries for Covid-19",NEU
100,"British Airways to sell art collection to ease Covid-19 pressures",NEG
101,"UK's growth figures dim hopes of V-shaped recovery from Covid-19",NEG
102,"Flood strategy 'at odds with Boris Johnson push for mass housing'",NEG
103,"UK economy may not recover until end of 2022, Treasury forecaster warns",NEG
104,"Face masks 'will deter young shoppers' says JD Sports chairman",NEG
105,"Ocado has waiting list of 1 million customers wanting to sign up",POS
106,"Huawei to be stripped of role in UK's 5G network by 2027, Dowden confirms",NEG
107,"End of the office: the quiet, grinding loneliness of working from home",NEG
108,"Britain's economy returns to growth more slowly than expected",NEG
109,"Sunak’s Covid-19 package may not be value for money, warns Treasury economist",NEG
110,"UK retail sales in June show signs of recovery after covid lockdown",POS
111,"The fast fashion fix: 20 ways to stop buying new clothes for ever",NEU
112,"Government hopes cut in red tape will triple UK's battery capacity",POS
113,"After mixed messages and mess-ups, Johnson bows to the inevitable",NEG
114,"UK's expected U-turn on Huawei fails to satisfy Tory rebels",NEG
115,"Nils Pratley on finance Sunak cannot just hope other big firms will follow Primark's furlough stance",NEG
116,"Asda equal pay dispute goes to UK supreme court in virtual hearing",NEU
117,"Boohoo shares drop 18% as new Leicester factory reports threaten sales",NEG
118,"Nationwide to offer low-deposit mortgages after stamp duty move",POS
119,"Grogonomics To make jobseeker fit for purpose, its temporary rise should be permanent",POS
120,"Offshore wind energy investment quadruples despite Covid-19 slump",POS
121,"Halfords to close up to 60 sites despite rise in bike sales in lockdown",NEG
122,"Business live Markets strengthen amid economic recovery hopes - as it happened",POS
123,"What is Huawei and why is its role in UK's 5G so controversial?",NEU
124,"G4S planning more than 1,000 job losses in cash-handling services",NEG
125,"Johnnie Walker maker creates plastic-free paper-based spirits bottle",POS
126,"Gold trade body urged to suspend refinery over alleged abuses in Tanzania",NEG
127,"Work begins in Lincolnshire on world's longest subsea power cable",POS
